Ano;"  Químicos (Exceto Perfumaria, Sabões, Detergentes e Produtos de Limpeza e de Higiene Pessoal )
";" Farmoquímicos e farmacêuticos
 Percentual médio";" Madeira
 Percentual médio";" Celulose e papel
 Percentual médio";"Alimentos
 Percentual médio";"Impressão e reprodução
 Percentual médio";" Produtos de minerais não metálicos
 Percentual médio";" Metalurgia
 Percentual médio";"Indústria de Transformação
 Percentual médio";" Veículos automotores
 Percentual médio";" Couro e calçados
 Percentual médio";" Móveis
 Percentual médio";"Borracha e material plástico
 Percentual médio";"Bebidas
 Percentual médio";" Produtos de metal
 Percentual médio";"Máquinas e materiais elétricos
 Percentual médio";"Máquinas e equipamentos
 Percentual médio";"Outros equipamentos de transporte
 Percentual médio";" Têxteis
 Percentual médio";"Coque, produtos derivados do petróleo e biocombustíveis
 Percentual médio";" Vestuário e acessórios
 Percentual médio";" Produtos diversos
 Percentual médio";"Indústria de Transformação
 Dessazonalizada
Percentual médio";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;79,78;86,09;83,39;88,88;79,68;79,81;80,87;74,20;78,92;74,05;81,66;83,68;75,38;67,91;73,98;81,71;74,16;88,05;79,25;81,04;83,33;78,78;78,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;81,58;85,38;84,42;90,47;78,33;81,23;82,24;81,79;81,23;79,81;83,26;85,87;81,38;69,01;76,73;83,87;78,13;88,92;81,40;84,73;86,12;80,45;81,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;81,58;81,21;85,55;90,03;81,23;82,81;83,21;85,39;82,49;83,73;84,32;86,33;81,87;67,24;79,84;83,99;79,30;88,79;81,58;84,18;85,72;74,31;82,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;82,72;84,63;83,28;89,62;80,75;81,50;83,73;82,77;82,17;85,06;83,47;85,68;81,35;68,34;79,67;83,01;80,25;88,80;82,19;83,67;82,81;74,79;82,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;84,68;80,98;82,32;89,10;81,64;82,38;85,72;86,03;83,18;88,52;85,70;84,43;81,78;70,24;81,02;80,97;81,79;90,96;82,68;83,90;82,45;80,13;83,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;82,22;76,09;81,78;88,98;81,22;83,61;86,03;84,93;83,30;89,22;89,49;82,70;83,83;73,38;81,85;80,37;80,51;90,90;84,95;84,14;82,14;81,33;83,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;79,18;75,13;81,61;87,28;80,76;78,54;81,73;73,66;80,64;83,02;86,70;79,51;81,17;74,08;76,94;79,63;77,65;90,28;83,53;81,78;82,66;73,89;80,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;80,06;71,87;85,92;87,36;81,17;78,78;85,72;89,28;83,34;88,00;88,76;80,48;83,56;75,60;82,13;81,58;83,08;90,77;85,26;86,22;82,29;76,86;83,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;83,14;68,86;85,31;88,16;79,89;77,24;84,76;90,30;82,88;85,73;88,39;81,46;81,60;75,31;82,79;78,50;83,24;85,62;85,99;90,68;82,11;73,22;82,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;81,63;70,93;85,75;88,61;80,62;77,28;83,17;88,58;81,73;83,67;84,92;81,05;79,45;73,15;80,98;81,56;79,22;86,34;84,78;85,91;80,74;73,12;81,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;80,43;71,71;85,61;88,02;80,65;78,05;84,39;89,85;81,93;86,93;82,42;82,59;79,82;72,03;77,92;79,83;79,42;88,73;85,49;88,94;81,23;71,68;81,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;82,11;72,02;86,79;87,74;80,38;76,86;82,37;91,50;81,83;87,63;85,85;79,06;79,13;71,99;78,40;75,96;82,45;86,36;86,44;86,61;79,88;70,12;81,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;79,40;70,19;86,58;83,61;78,76;70,08;79,94;89,69;79,66;83,08;85,04;77,48;75,68;67,02;75,43;78,02;78,37;84,12;84,40;82,86;80,82;68,61;79,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
